id,clean_name,premium_title,price,category,subcategory,seo_description,short_description,tags,keywords,occasion_tags,classification,instagram_caption,is_best_seller,cross_sell,combos
farmley_10,farmley RNF makhana composite jar 77g Salt N Peper,Guilt-Free farmley RNF makhana composite jar 77g Salt N Peper,239.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's farmley RNF makhana composite jar 77g Salt N Peper. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh farmley RNF makhana composite jar 77g Salt N Peper from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","farmley RNF makhana composite jar 77g Salt N Peper, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of farmley RNF makhana composite jar 77g Salt N Peper! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), farmley RNF makhana composite jar 77g Salt N Peper + Green Tea Pack"
farmley_11,farmley RNF makhana composite jar 77g cream & onion,Guilt-Free farmley RNF makhana composite jar 77g cream & onion,239.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's farmley RNF makhana composite jar 77g cream & onion. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh farmley RNF makhana composite jar 77g cream & onion from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","farmley RNF makhana composite jar 77g cream & onion, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of farmley RNF makhana composite jar 77g cream & onion! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), farmley RNF makhana composite jar 77g cream & onion + Green Tea Pack"
farmley_12,Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/-,Guilt-Free Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/-,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/-. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/- from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/-, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/-! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Snack Mix - Salted Pumpkin Seeds 24g MRP 30/- + Green Tea Pack"
farmley_13,Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30,Guilt-Free Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30 from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Snack Mix - Maxican Peri Peri 21g MRP. 30 + Green Tea Pack"
farmley_14,Farmley Mashala Cranberry 18gm Ladi MRP. 30/-,Guilt-Free Farmley Mashala Cranberry 18gm Ladi MRP. 30/-,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Mashala Cranberry 18gm Ladi MRP. 30/-. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Mashala Cranberry 18gm Ladi MRP. 30/- from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Mashala Cranberry 18gm Ladi MRP. 30/-, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Mashala Cranberry 18gm Ladi MRP. 30/-! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Mashala Cranberry 18gm Ladi MRP. 30/- + Green Tea Pack"
farmley_15,Farmley Snack Mix - Panchmeva 21gm MRP. 30,Guilt-Free Farmley Snack Mix - Panchmeva 21gm MRP. 30,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Snack Mix - Panchmeva 21gm MRP. 30. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Snack Mix - Panchmeva 21gm MRP. 30 from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Snack Mix - Panchmeva 21gm MRP. 30, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Snack Mix - Panchmeva 21gm MRP. 30! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Snack Mix - Panchmeva 21gm MRP. 30 + Green Tea Pack"
farmley_16,Farmley Date bite Classic 240gm,Guilt-Free Farmley Date bite Classic 240gm,480.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Date bite Classic 240gm. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Date bite Classic 240gm from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Date bite Classic 240gm, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of Farmley Date bite Classic 240gm! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Date bite Classic 240gm + Green Tea Pack"
farmley_17,FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320,Guilt-Free FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320,320.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320 from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), FARMLEY DATE BITES DARK CHOCO- ORANGE 160G MRP. 320 + Green Tea Pack"
farmley_18,FARMELY PREMIUM FLAX SEEDS 200G,Guilt-Free FARMELY PREMIUM FLAX SEEDS 200G,99.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's FARMELY PREMIUM FLAX SEEDS 200G. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh FARMELY PREMIUM FLAX SEEDS 200G from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","FARMELY PREMIUM FLAX SEEDS 200G, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of FARMELY PREMIUM FLAX SEEDS 200G! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), FARMELY PREMIUM FLAX SEEDS 200G + Green Tea Pack"
farmley_19,Farmley Premiun California rost/salted Pista 200g,Guilt-Free Farmley Premiun California rost/salted Pista 200g,469.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Premiun California rost/salted Pista 200g. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Premiun California rost/salted Pista 200g from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Premiun California rost/salted Pista 200g, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of Farmley Premiun California rost/salted Pista 200g! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Premiun California rost/salted Pista 200g + Green Tea Pack"
farmley_20,Farmley Premium raisin long sp 200g,Guilt-Free Farmley Premium raisin long sp 200g,249.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Premium raisin long sp 200g. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Premium raisin long sp 200g from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Premium raisin long sp 200g, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of Farmley Premium raisin long sp 200g! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Premium raisin long sp 200g + Green Tea Pack"
party stuff_0,Bunny baloons,Premium Bunny baloons,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Bunny baloons from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Bunny baloons from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Bunny baloons, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Bunny baloons! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Bunny baloons Family Pack
party stuff_1,King Baloons,Premium King Baloons,79.0,Party Supplies,Party Stuff,Experience the authentic taste of King Baloons from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh King Baloons from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","King Baloons, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of King Baloons! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,King Baloons Family Pack
party stuff_2,Monty Baloon,Handcrafted Monty Baloon,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Monty Baloon from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Monty Baloon from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Monty Baloon, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Monty Baloon! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Monty Baloon Family Pack
party stuff_3,Happy Bday Combo Set,Premium Happy Bday Combo Set,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Happy Bday Combo Set from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Happy Bday Combo Set from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Happy Bday Combo Set, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Happy Bday Combo Set! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Happy Bday Combo Set Family Pack
party stuff_4,Silver Curtain,Signature Silver Curtain,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Silver Curtain from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Silver Curtain from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Silver Curtain, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Silver Curtain! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Silver Curtain Family Pack
party stuff_5,Golden Curtain,Handcrafted Golden Curtain,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Golden Curtain from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Golden Curtain from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Golden Curtain, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Golden Curtain! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Golden Curtain Family Pack
party stuff_6,Happy Bday baloon,Artisanal Happy Bday baloon,79.0,Party Supplies,Party Stuff,Experience the authentic taste of Happy Bday baloon from Heritage Oven. Our time-honored recipes and premium ingredients come together to create a snack that is both nostalgic and modern. Perfect for tea-time or any time you crave a quality bite.,"Deliciously fresh Happy Bday baloon from Heritage Oven. Premium quality, authentic taste.","Party Supplies, Heritage Oven, Premium Bakery","Happy Bday baloon, Heritage Oven, Party Supplies, Freshly Baked","Birthday, Anniversary, Celebration, Wedding, Party",Budget,"Indulge in the magic of Happy Bday baloon! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,Daily Specials,Happy Bday baloon Family Pack
